Number of Hidden Dims,Decrease Rate of Layers' Units,Seed,Pre Filter Count,Loss Filter Count,Node Name,Hidden Dims,Latent Dim,Test Accuracy,Test Precision,Test Recall,Test F0.5-Score,Test F1-Score,Test F2-Score,Test Conf. Matrix,All Data Accuracy,All Data Precision,All Data Recall,All Data F0.5-Score,All Data F1-Score,All Data F2-Score,All Data Conf. Matrix,Post_Test Accuracy,Post_Test Precision,Post_Test Recall,Post_Test F0.5-Score,Post_Test F1-Score,Post_Test F2-Score,Post_Test Conf. Matrix,Post All Data Accuracy,Post All Data Precision,Post All Data Recall,Post All Data F0.5-Score,Post All Data F1-Score,Post All Data F2-Score,Post All Data Conf. Matrix
2,1.7919999999999998,8,460,20,r234n10.gzip,"[256, 142]",79,0.99,,0.0,,,,"[[2255    0]
 [  24    0]]",1.0,1.0,0.02,0.09,0.04,0.02,"[[11339     0]
 [   53     1]]",0.88,0.1,0.94,0.12,0.18,0.36,"[[1973  273]
 [   2   31]]",0.88,0.04,0.84,0.05,0.08,0.18,"[[10004  1320]
 [   11    58]]"
2,1.7919999999999998,2,460,20,r232n05.gzip,"[256, 142]",79,0.99,0.5,0.1,0.27,0.16,0.12,"[[2097    3]
 [  28    3]]",0.99,0.21,0.08,0.16,0.12,0.09,"[[10590    15]
 [   46     4]]",0.99,0.89,0.27,0.61,0.41,0.31,"[[2100    1]
 [  22    8]]",1.0,0.71,0.3,0.56,0.42,0.34,"[[10599     6]
 [   35    15]]"
2,1.7919999999999998,8,460,20,r232n05.gzip,"[256, 142]",79,0.98,0.47,0.53,0.48,0.5,0.52,"[[2083   18]
 [  14   16]]",0.99,0.29,0.62,0.32,0.39,0.51,"[[10500    94]
 [   23    38]]",0.99,0.58,0.41,0.53,0.48,0.43,"[[2096    8]
 [  16   11]]",0.99,0.44,0.48,0.44,0.46,0.47,"[[10574    31]
 [   26    24]]"
2,1.7919999999999998,2,460,20,r214n09.gzip,"[256, 142]",79,0.98,0.28,0.23,0.27,0.25,0.24,"[[1937   13]
 [  17    5]]",0.99,0.22,0.33,0.23,0.26,0.3,"[[9754   57]
 [  33   16]]",0.99,0.5,0.05,0.19,0.1,0.06,"[[1952    1]
 [  18    1]]",1.0,0.33,0.05,0.16,0.09,0.06,"[[9818    4]
 [  36    2]]"
2,1.7919999999999998,8,460,20,r214n09.gzip,"[256, 142]",79,0.89,0.12,0.67,0.14,0.2,0.34,"[[1738  195]
 [  13   26]]",0.91,0.06,0.7,0.07,0.11,0.22,"[[8890  893]
 [  23   54]]",0.98,0.12,0.14,0.13,0.13,0.13,"[[1929   21]
 [  19    3]]",0.99,0.1,0.27,0.11,0.14,0.2,"[[9716  103]
 [  30   11]]"
2,1.7919999999999998,2,460,20,r231n18.gzip,"[256, 142]",79,0.98,0.47,0.56,0.48,0.51,0.54,"[[1628   17]
 [  12   15]]",0.99,0.31,0.6,0.34,0.41,0.5,"[[8227   75]
 [  23   34]]",0.99,0.78,0.32,0.6,0.45,0.36,"[[1648    2]
 [  15    7]]",1.0,0.74,0.37,0.62,0.49,0.41,"[[8307    6]
 [  29   17]]"
2,1.7919999999999998,8,460,20,r231n18.gzip,"[256, 142]",79,0.98,0.53,0.62,0.55,0.57,0.6,"[[1627   16]
 [  11   18]]",0.98,0.27,0.68,0.31,0.38,0.52,"[[8191  109]
 [  19   40]]",0.99,0.85,0.42,0.71,0.56,0.47,"[[1644    2]
 [  15   11]]",1.0,0.61,0.46,0.57,0.52,0.48,"[[8297   14]
 [  26   22]]"
2,1.7919999999999998,2,460,20,r227n07.gzip,"[256, 142]",79,0.83,0.16,0.81,0.19,0.26,0.44,"[[1926  380]
 [  16   70]]",0.84,0.07,0.84,0.09,0.13,0.26,"[[9919 1869]
 [  27  142]]",0.85,0.18,0.87,0.21,0.29,0.49,"[[1958  348]
 [  11   75]]",0.84,0.07,0.89,0.09,0.14,0.28,"[[9947 1844]
 [  19  147]]"
2,1.7919999999999998,8,460,20,r227n07.gzip,"[256, 142]",79,0.86,0.17,0.81,0.2,0.28,0.46,"[[1979  330]
 [  16   67]]",0.85,0.07,0.85,0.09,0.14,0.28,"[[9991 1795]
 [  26  145]]",0.89,0.2,0.79,0.24,0.32,0.5,"[[2052  258]
 [  17   65]]",0.88,0.09,0.84,0.11,0.16,0.32,"[[10419  1373]
 [   27   138]]"
2,1.7919999999999998,2,460,20,r217n01.gzip,"[256, 142]",79,0.67,0.45,0.96,0.51,0.62,0.79,"[[1238  990]
 [  32  820]]",0.6,0.21,0.96,0.25,0.35,0.57,"[[7614 6079]
 [  60 1643]]",0.94,0.89,0.88,0.88,0.88,0.88,"[[2166   93]
 [ 102  719]]",0.95,0.74,0.86,0.76,0.8,0.83,"[[13255   496]
 [  232  1413]]"
2,1.792,8,460,20,r217n01.gzip,"[256, 142]",79,0.82,0.61,0.88,0.65,0.72,0.81,"[[1774  467]
 [  97  742]]",0.8,0.34,0.88,0.39,0.49,0.67,"[[10816  2901]
 [  194  1485]]",0.95,0.98,0.84,0.95,0.91,0.87,"[[2261   12]
 [ 128  679]]",0.98,0.96,0.84,0.93,0.89,0.86,"[[13714    57]
 [  263  1362]]"
