Number of Hidden Dims,Decrease Rate of Layers' Units,Seed,Pre Filter Count,Loss Filter Count,Node Name,Hidden Dims,Latent Dim,Test Accuracy,Test Precision,Test Recall,Test F0.5-Score,Test F1-Score,Test F2-Score,Test Conf. Matrix,All Data Accuracy,All Data Precision,All Data Recall,All Data F0.5-Score,All Data F1-Score,All Data F2-Score,All Data Conf. Matrix,Post_Test Accuracy,Post_Test Precision,Post_Test Recall,Post_Test F0.5-Score,Post_Test F1-Score,Post_Test F2-Score,Post_Test Conf. Matrix,Post All Data Accuracy,Post All Data Precision,Post All Data Recall,Post All Data F0.5-Score,Post All Data F1-Score,Post All Data F2-Score,Post All Data Conf. Matrix
2,1.3430000000000002,2,460,35,r207n17.gzip,"[342, 254]",189,0.87,0.11,0.79,0.13,0.2,0.36,"[[1965  295]
 [  10   37]]",0.86,0.05,0.83,0.06,0.09,0.2,"[[9876 1561]
 [  17   81]]",0.9,0.15,0.86,0.18,0.26,0.44,"[[2049  214]
 [   6   38]]",0.89,0.06,0.85,0.07,0.11,0.23,"[[10238  1206]
 [   14    77]]"
2,1.3430000000000002,8,460,35,r207n17.gzip,"[342, 254]",189,0.88,0.13,0.79,0.16,0.23,0.4,"[[1990  265]
 [  11   41]]",0.89,0.06,0.79,0.07,0.11,0.22,"[[10147  1289]
 [   21    78]]",0.9,0.15,0.85,0.18,0.26,0.44,"[[2031  228]
 [   7   41]]",0.9,0.06,0.84,0.08,0.12,0.24,"[[10299  1143]
 [   15    78]]"
2,1.3430000000000002,2,460,35,r207n11.gzip,"[342, 254]",189,0.97,0.37,0.82,0.41,0.51,0.66,"[[2214   55]
 [   7   32]]",0.98,0.23,0.89,0.27,0.36,0.56,"[[11191   258]
 [   10    77]]",0.96,0.29,0.79,0.33,0.42,0.59,"[[2193   76]
 [   8   31]]",0.96,0.15,0.89,0.19,0.26,0.46,"[[11028   421]
 [   10    77]]"
2,1.3430000000000002,8,460,35,r207n11.gzip,"[342, 254]",189,0.95,0.28,0.95,0.32,0.43,0.64,"[[2165  102]
 [   2   39]]",0.96,0.15,0.9,0.18,0.26,0.46,"[[10994   451]
 [    9    82]]",0.96,0.32,0.92,0.37,0.47,0.67,"[[2189   79]
 [   3   37]]",0.97,0.17,0.87,0.21,0.29,0.48,"[[11096   355]
 [   11    74]]"
2,1.3430000000000002,2,460,35,r205n13.gzip,"[342, 254]",189,0.94,0.8,0.99,0.83,0.89,0.95,"[[1063   83]
 [   2  336]]",0.93,0.57,0.99,0.63,0.73,0.86,"[[6240  500]
 [   7  670]]",0.94,0.8,0.99,0.84,0.89,0.95,"[[1064   82]
 [   2  336]]",0.93,0.58,0.99,0.64,0.73,0.87,"[[6265  477]
 [   7  668]]"
2,1.3430000000000002,8,460,35,r205n13.gzip,"[342, 254]",189,0.94,0.8,1.0,0.83,0.89,0.95,"[[1055   87]
 [   1  341]]",0.93,0.55,0.99,0.61,0.71,0.86,"[[6197  541]
 [   7  672]]",0.95,0.82,1.0,0.85,0.9,0.95,"[[1065   77]
 [   1  341]]",0.93,0.58,0.99,0.63,0.73,0.87,"[[6250  488]
 [   7  672]]"
2,1.3430000000000002,2,460,35,r210n04.gzip,"[342, 254]",189,0.8,0.12,0.71,0.15,0.21,0.37,"[[2115  501]
 [  29   71]]",0.8,0.05,0.72,0.06,0.1,0.2,"[[10672  2698]
 [   58   148]]",0.87,0.18,0.7,0.21,0.28,0.44,"[[2299  318]
 [  30   69]]",0.86,0.07,0.7,0.09,0.13,0.26,"[[11599  1777]
 [   59   141]]"
2,1.3430000000000002,8,460,35,r210n04.gzip,"[342, 254]",189,0.93,0.25,0.63,0.28,0.35,0.48,"[[2461  168]
 [  32   55]]",0.93,0.11,0.65,0.13,0.19,0.33,"[[12510   891]
 [   62   113]]",0.95,0.38,0.68,0.42,0.49,0.59,"[[2516  105]
 [  30   65]]",0.95,0.18,0.7,0.22,0.29,0.45,"[[12812   578]
 [   56   130]]"
2,1.3430000000000002,2,460,35,r211n05.gzip,"[342, 254]",189,0.73,0.09,0.88,0.11,0.16,0.32,"[[1539  569]
 [   8   56]]",0.72,0.04,0.88,0.05,0.07,0.16,"[[7659 3061]
 [  17  119]]",0.86,0.13,0.83,0.15,0.22,0.39,"[[1826  294]
 [   9   43]]",0.85,0.05,0.78,0.06,0.09,0.19,"[[9113 1639]
 [  23   81]]"
2,1.3430000000000002,8,460,35,r211n05.gzip,"[342, 254]",189,0.72,0.1,0.93,0.13,0.19,0.36,"[[1503  595]
 [   5   69]]",0.72,0.04,0.89,0.05,0.08,0.17,"[[7717 2997]
 [  15  127]]",0.76,0.1,0.89,0.12,0.18,0.34,"[[1583  524]
 [   7   58]]",0.76,0.04,0.86,0.05,0.08,0.17,"[[8098 2633]
 [  17  108]]"
