Number of Hidden Dims,Decrease Rate of Layers' Units,Seed,Pre Filter Count,Loss Filter Count,Node Name,Hidden Dims,Latent Dim,Test Accuracy,Test Precision,Test Recall,Test F0.5-Score,Test F1-Score,Test F2-Score,Test Conf. Matrix,All Data Accuracy,All Data Precision,All Data Recall,All Data F0.5-Score,All Data F1-Score,All Data F2-Score,All Data Conf. Matrix,Post_Test Accuracy,Post_Test Precision,Post_Test Recall,Post_Test F0.5-Score,Post_Test F1-Score,Post_Test F2-Score,Post_Test Conf. Matrix,Post All Data Accuracy,Post All Data Precision,Post All Data Recall,Post All Data F0.5-Score,Post All Data F1-Score,Post All Data F2-Score,Post All Data Conf. Matrix
1,1.179,2,460,22,r207n17.gzip,[390],330,0.92,0.12,0.78,0.15,0.22,0.38,"[[2100  175]
 [   7   25]]",0.93,0.06,0.79,0.07,0.11,0.23,"[[10637   832]
 [   14    52]]",0.99,0.54,0.73,0.57,0.62,0.68,"[[2258   19]
 [   8   22]]",0.99,0.28,0.74,0.32,0.41,0.56,"[[11354   119]
 [   16    46]]"
1,1.179,8,460,22,r207n17.gzip,[390],330,0.98,0.0,0.0,,,,"[[2270    3]
 [  34    0]]",0.99,0.18,0.03,0.1,0.06,0.04,"[[11466     9]
 [   58     2]]",0.99,0.57,0.57,0.57,0.57,0.57,"[[2257   15]
 [  15   20]]",0.99,0.36,0.62,0.4,0.46,0.54,"[[11407    67]
 [   23    38]]"
1,1.179,2,460,22,r207n11.gzip,[390],330,0.99,0.67,0.76,0.68,0.71,0.74,"[[2268   11]
 [   7   22]]",0.99,0.45,0.85,0.5,0.59,0.72,"[[11402    68]
 [   10    56]]",1.0,0.88,0.73,0.85,0.8,0.76,"[[2275    3]
 [   8   22]]",1.0,0.7,0.82,0.72,0.76,0.79,"[[11454    21]
 [   11    50]]"
1,1.179,8,460,22,r207n11.gzip,[390],330,0.99,0.63,0.9,0.67,0.74,0.83,"[[2262   16]
 [   3   27]]",0.99,0.42,0.83,0.47,0.56,0.7,"[[11395    75]
 [   11    55]]",1.0,0.96,0.86,0.94,0.91,0.88,"[[2278    1]
 [   4   25]]",1.0,0.72,0.79,0.73,0.75,0.78,"[[11455    19]
 [   13    49]]"
1,1.179,2,460,22,r205n13.gzip,[390],330,0.92,0.75,0.95,0.79,0.84,0.9,"[[1048  103]
 [  18  315]]",0.91,0.51,0.95,0.56,0.66,0.81,"[[6138  612]
 [  32  635]]",1.0,1.0,0.99,1.0,0.99,0.99,"[[1151    1]
 [   3  329]]",1.0,0.98,0.99,0.98,0.98,0.99,"[[6741   13]
 [   8  655]]"
1,1.179,8,460,22,r205n13.gzip,[390],330,0.95,0.82,1.0,0.85,0.9,0.96,"[[1067   75]
 [   1  341]]",0.94,0.6,0.99,0.65,0.75,0.88,"[[6291  447]
 [   7  672]]",0.96,0.85,1.0,0.88,0.92,0.96,"[[1084   58]
 [   1  341]]",0.95,0.67,0.99,0.72,0.8,0.9,"[[6405  333]
 [   7  672]]"
1,1.179,2,460,22,r210n04.gzip,[390],330,0.91,0.21,0.66,0.24,0.31,0.46,"[[2399  228]
 [  30   59]]",0.91,0.1,0.66,0.12,0.17,0.31,"[[12238  1151]
 [   63   124]]",0.97,0.56,0.62,0.57,0.59,0.61,"[[2596   40]
 [  30   50]]",0.98,0.34,0.62,0.38,0.44,0.53,"[[13212   197]
 [   64   103]]"
1,1.179,8,460,22,r210n04.gzip,[390],330,0.97,1.0,0.01,0.06,0.02,0.02,"[[2634    0]
 [  81    1]]",0.99,0.5,0.01,0.06,0.02,0.02,"[[13415     2]
 [  157     2]]",0.97,0.5,0.64,0.52,0.56,0.61,"[[2565   59]
 [  33   59]]",0.97,0.27,0.64,0.31,0.38,0.51,"[[13089   307]
 [   64   116]]"
1,1.179,2,460,22,r211n05.gzip,[390],330,0.98,0.0,0.0,,,,"[[2136    1]
 [  35    0]]",0.99,0.5,0.03,0.11,0.05,0.03,"[[10783     2]
 [   69     2]]",0.93,0.21,0.81,0.25,0.33,0.52,"[[1978  146]
 [   9   39]]",0.92,0.08,0.76,0.1,0.14,0.28,"[[9902  858]
 [  23   73]]"
1,1.179,8,460,22,r211n05.gzip,[390],330,0.98,0.33,0.03,0.11,0.05,0.03,"[[2135    2]
 [  34    1]]",0.99,0.4,0.03,0.11,0.05,0.03,"[[10782     3]
 [   69     2]]",0.88,0.16,0.84,0.19,0.27,0.45,"[[1867  249]
 [   9   47]]",0.88,0.06,0.82,0.08,0.12,0.24,"[[9450 1299]
 [  19   88]]"
1,1.179,2,460,22,r206n17.gzip,[390],330,0.98,1.0,0.02,0.09,0.04,0.02,"[[2285    0]
 [  50    1]]",0.99,0.29,0.02,0.07,0.04,0.02,"[[11565     5]
 [  105     2]]",0.8,0.11,0.87,0.13,0.19,0.36,"[[1827  448]
 [   8   53]]",0.79,0.05,0.91,0.06,0.09,0.19,"[[9158 2391]
 [  12  116]]"
1,1.179,8,460,22,r206n17.gzip,[390],330,0.79,0.12,0.85,0.14,0.21,0.38,"[[1785  476]
 [  11   64]]",0.79,0.05,0.86,0.06,0.1,0.21,"[[9093 2430]
 [  22  132]]",0.9,0.18,0.8,0.22,0.3,0.48,"[[2043  229]
 [  13   51]]",0.89,0.08,0.82,0.1,0.15,0.29,"[[10294  1246]
 [   25   112]]"
