Number of Hidden Dims,Decrease Rate of Layers' Units,Seed,Pre Filter Count,Loss Filter Count,Node Name,Hidden Dims,Latent Dim,Test Accuracy,Test Precision,Test Recall,Test F0.5-Score,Test F1-Score,Test F2-Score,Test Conf. Matrix,All Data Accuracy,All Data Precision,All Data Recall,All Data F0.5-Score,All Data F1-Score,All Data F2-Score,All Data Conf. Matrix,Post_Test Accuracy,Post_Test Precision,Post_Test Recall,Post_Test F0.5-Score,Post_Test F1-Score,Post_Test F2-Score,Post_Test Conf. Matrix,Post All Data Accuracy,Post All Data Precision,Post All Data Recall,Post All Data F0.5-Score,Post All Data F1-Score,Post All Data F2-Score,Post All Data Conf. Matrix
1,1.411,42,460,22,r207n17.gzip,[326],231,0.99,0.5,0.03,0.12,0.06,0.04,"[[2273    1]
 [  32    1]]",0.99,0.29,0.03,0.11,0.06,0.04,"[[11470     5]
 [   58     2]]",0.71,0.06,0.86,0.08,0.12,0.24,"[[1604  653]
 [   7   43]]",0.72,0.02,0.86,0.03,0.05,0.11,"[[8210 3233]
 [  13   79]]"
1,1.411,42,460,22,r207n17.gzip,[326],231,0.99,0.5,0.03,0.12,0.06,0.04,"[[2273    1]
 [  32    1]]",0.99,0.29,0.03,0.11,0.06,0.04,"[[11470     5]
 [   58     2]]",0.99,,0.0,,,,"[[2274    0]
 [  33    0]]",0.99,0.14,0.02,0.06,0.03,0.02,"[[11470     6]
 [   58     1]]"
1,1.411,42,460,22,r207n11.gzip,[326],231,0.97,0.4,0.89,0.45,0.55,0.71,"[[2205   59]
 [   5   39]]",0.98,0.22,0.89,0.26,0.35,0.55,"[[11192   262]
 [    9    73]]",0.99,0.56,0.8,0.6,0.66,0.74,"[[2251   22]
 [   7   28]]",0.99,0.37,0.83,0.42,0.51,0.67,"[[11379    92]
 [   11    54]]"
1,1.411,42,460,22,r207n11.gzip,[326],231,0.97,0.39,0.89,0.44,0.54,0.71,"[[2201   62]
 [   5   40]]",0.98,0.22,0.89,0.26,0.35,0.55,"[[11187   266]
 [    9    74]]",0.99,0.57,0.8,0.61,0.67,0.74,"[[2252   21]
 [   7   28]]",0.99,0.38,0.83,0.43,0.52,0.67,"[[11381    89]
 [   11    55]]"
1,1.411,42,460,22,r205n13.gzip,[326],231,0.94,0.8,0.99,0.83,0.88,0.94,"[[1061   84]
 [   4  335]]",0.93,0.56,0.99,0.61,0.71,0.86,"[[6203  535]
 [   7  672]]",0.94,0.81,0.99,0.84,0.89,0.95,"[[1066   79]
 [   4  335]]",0.93,0.57,0.99,0.62,0.72,0.86,"[[6233  505]
 [   7  672]]"
1,1.411,42,460,22,r205n13.gzip,[326],231,0.94,0.8,0.99,0.83,0.88,0.94,"[[1061   84]
 [   4  335]]",0.93,0.56,0.99,0.61,0.71,0.86,"[[6202  536]
 [   7  672]]",0.95,0.82,0.99,0.84,0.89,0.95,"[[1069   76]
 [   4  335]]",0.93,0.58,0.99,0.63,0.73,0.87,"[[6250  488]
 [   7  672]]"
1,1.411,42,460,22,r210n04.gzip,[326],231,0.9,0.19,0.58,0.22,0.28,0.41,"[[2395  230]
 [  38   53]]",0.91,0.09,0.66,0.11,0.16,0.3,"[[12231  1162]
 [   63   120]]",0.96,0.44,0.6,0.46,0.51,0.56,"[[2551   72]
 [  37   56]]",0.97,0.28,0.67,0.31,0.39,0.52,"[[13065   325]
 [   62   124]]"
1,1.411,42,460,22,r210n04.gzip,[326],231,0.9,0.18,0.57,0.2,0.27,0.39,"[[2380  245]
 [  39   52]]",0.91,0.09,0.65,0.11,0.16,0.29,"[[12188  1206]
 [   64   118]]",0.96,0.44,0.58,0.47,0.5,0.55,"[[2564   64]
 [  37   51]]",0.97,0.27,0.63,0.3,0.37,0.5,"[[13103   301]
 [   63   109]]"
1,1.411,42,460,22,r211n05.gzip,[326],231,0.98,0.5,0.03,0.12,0.06,0.04,"[[2137    1]
 [  33    1]]",0.99,0.25,0.03,0.1,0.05,0.03,"[[10779     6]
 [   69     2]]",0.9,0.13,0.67,0.16,0.22,0.37,"[[1924  202]
 [  15   31]]",0.9,0.07,0.76,0.08,0.12,0.25,"[[9697 1058]
 [  24   77]]"
1,1.411,42,460,22,r211n05.gzip,[326],231,0.78,0.1,0.83,0.12,0.18,0.34,"[[1630  477]
 [  11   54]]",0.77,0.05,0.88,0.06,0.09,0.2,"[[8270 2447]
 [  17  122]]",0.9,0.12,0.61,0.15,0.21,0.34,"[[1929  197]
 [  18   28]]",0.9,0.07,0.72,0.08,0.12,0.24,"[[9746 1011]
 [  28   71]]"
1,1.411,42,460,22,r206n17.gzip,[326],231,0.26,0.05,1.0,0.06,0.09,0.19,"[[ 522 1731]
 [   0   83]]",0.24,0.02,0.99,0.02,0.04,0.09,"[[2658 8853]
 [   1  165]]",0.66,0.08,0.93,0.1,0.15,0.29,"[[1483  781]
 [   5   67]]",0.68,0.03,0.9,0.04,0.06,0.14,"[[7774 3767]
 [  13  123]]"
1,1.411,42,460,22,r206n17.gzip,[326],231,0.87,0.16,0.84,0.19,0.27,0.45,"[[1969  299]
 [  11   57]]",0.87,0.07,0.84,0.09,0.14,0.28,"[[10019  1513]
 [   23   122]]",0.94,0.32,0.82,0.36,0.46,0.62,"[[2153  117]
 [  12   54]]",0.95,0.16,0.82,0.19,0.27,0.45,"[[10969   572]
 [   25   111]]"
1,1.411,42,460,22,r208n09.gzip,[326],231,0.91,0.11,0.69,0.14,0.2,0.34,"[[1941  195]
 [  11   25]]",0.91,0.06,0.77,0.07,0.11,0.22,"[[9801  982]
 [  18   59]]",0.97,0.23,0.48,0.26,0.31,0.4,"[[2097   46]
 [  15   14]]",0.98,0.13,0.59,0.16,0.22,0.35,"[[10590   214]
 [   23    33]]"
1,1.411,42,460,22,r208n09.gzip,[326],231,0.9,0.11,0.7,0.13,0.19,0.34,"[[1925  210]
 [  11   26]]",0.9,0.05,0.77,0.07,0.1,0.21,"[[9710 1071]
 [  18   61]]",0.95,0.15,0.56,0.17,0.23,0.36,"[[2035  105]
 [  14   18]]",0.95,0.09,0.69,0.11,0.16,0.3,"[[10296   493]
 [   22    49]]"
1,1.411,42,460,22,r211n08.gzip,[326],231,0.76,0.24,0.99,0.29,0.39,0.61,"[[1616  567]
 [   2  181]]",0.75,0.11,0.98,0.14,0.2,0.38,"[[8563 2894]
 [   8  362]]",0.89,0.41,0.98,0.46,0.58,0.77,"[[1935  253]
 [   3  175]]",0.89,0.22,0.96,0.26,0.36,0.57,"[[10214  1250]
 [   14   349]]"
1,1.411,42,460,22,r211n08.gzip,[326],231,0.85,0.34,0.96,0.39,0.5,0.7,"[[1831  350]
 [   8  177]]",0.85,0.16,0.95,0.2,0.28,0.49,"[[9637 1813]
 [  20  357]]",0.92,0.49,0.96,0.54,0.65,0.8,"[[2009  178]
 [   8  171]]",0.92,0.27,0.93,0.32,0.42,0.63,"[[10546   914]
 [   24   343]]"
1,1.411,42,460,22,r208n10.gzip,[326],231,0.99,0.33,0.15,0.27,0.21,0.17,"[[1959    4]
 [  11    2]]",1.0,0.15,0.09,0.13,0.11,0.1,"[[9825   17]
 [  31    3]]",0.99,1.0,0.08,0.29,0.14,0.09,"[[1963    0]
 [  12    1]]",1.0,0.33,0.06,0.18,0.1,0.07,"[[9839    4]
 [  31    2]]"
