Number of Hidden Dims,Decrease Rate of Layers' Units,Seed,Pre Filter Count,Loss Filter Count,Node Name,Hidden Dims,Latent Dim,Test Accuracy,Test Precision,Test Recall,Test F0.5-Score,Test F1-Score,Test F2-Score,Test Conf. Matrix,All Data Accuracy,All Data Precision,All Data Recall,All Data F0.5-Score,All Data F1-Score,All Data F2-Score,All Data Conf. Matrix,Post_Test Accuracy,Post_Test Precision,Post_Test Recall,Post_Test F0.5-Score,Post_Test F1-Score,Post_Test F2-Score,Post_Test Conf. Matrix,Post All Data Accuracy,Post All Data Precision,Post All Data Recall,Post All Data F0.5-Score,Post All Data F1-Score,Post All Data F2-Score,Post All Data Conf. Matrix
1,1.411,42,460,22,r208n10.gzip,[326],231,0.99,0.33,0.15,0.27,0.21,0.17,"[[1959    4]
 [  11    2]]",1.0,0.14,0.09,0.13,0.11,0.1,"[[9824   18]
 [  31    3]]",0.99,0.57,0.25,0.45,0.35,0.28,"[[1957    3]
 [  12    4]]",0.99,0.23,0.18,0.22,0.21,0.19,"[[9815   23]
 [  31    7]]"
1,1.411,42,460,22,r212n07.gzip,[326],231,0.87,0.08,0.81,0.1,0.15,0.3,"[[1853  286]
 [   6   26]]",0.88,0.04,0.91,0.05,0.08,0.18,"[[9441 1344]
 [   6   62]]",0.98,0.3,0.74,0.34,0.43,0.57,"[[2097   47]
 [   7   20]]",0.97,0.13,0.8,0.15,0.22,0.39,"[[10508   291]
 [   11    43]]"
1,1.411,42,460,22,r212n07.gzip,[326],231,0.89,0.1,0.87,0.12,0.17,0.33,"[[1896  245]
 [   4   26]]",0.89,0.05,0.94,0.06,0.1,0.21,"[[9652 1136]
 [   4   61]]",0.98,0.33,0.74,0.37,0.45,0.59,"[[2103   41]
 [   7   20]]",0.98,0.15,0.81,0.18,0.26,0.43,"[[10552   247]
 [   10    44]]"
1,1.411,42,460,22,r207n02.gzip,[326],231,0.91,0.3,0.9,0.35,0.46,0.65,"[[2352  228]
 [  11  100]]",0.92,0.17,0.92,0.2,0.28,0.48,"[[12187  1038]
 [   18   209]]",0.96,0.49,0.9,0.54,0.63,0.77,"[[2496   95]
 [  10   90]]",0.97,0.32,0.91,0.36,0.47,0.66,"[[12863   390]
 [   18   181]]"
1,1.411,42,460,22,r207n02.gzip,[326],231,0.91,0.3,0.9,0.35,0.45,0.64,"[[2343  236]
 [  11  101]]",0.92,0.17,0.92,0.2,0.28,0.48,"[[12168  1055]
 [   18   211]]",0.96,0.47,0.9,0.52,0.61,0.76,"[[2479  108]
 [  10   94]]",0.96,0.29,0.91,0.33,0.43,0.63,"[[12768   476]
 [   18   190]]"
1,1.411,42,460,22,r211n01.gzip,[326],231,0.99,0.0,0.0,,,,"[[2144    1]
 [  31    0]]",0.99,0.33,0.03,0.1,0.05,0.03,"[[10803     4]
 [   71     2]]",0.94,0.18,0.6,0.21,0.27,0.4,"[[2018  116]
 [  17   25]]",0.94,0.08,0.61,0.1,0.14,0.26,"[[10150   640]
 [   35    55]]"
1,1.411,42,460,22,r211n01.gzip,[326],231,0.97,0.23,0.39,0.26,0.29,0.35,"[[2089   49]
 [  23   15]]",0.97,0.13,0.46,0.15,0.2,0.3,"[[10513   278]
 [   48    41]]",0.99,0.64,0.28,0.51,0.39,0.32,"[[2139    5]
 [  23    9]]",0.99,0.38,0.36,0.38,0.37,0.37,"[[10758    45]
 [   49    28]]"
1,1.411,42,460,22,r206n03.gzip,[326],231,0.69,0.36,0.99,0.41,0.52,0.73,"[[1228  722]
 [   3  400]]",0.66,0.17,0.99,0.2,0.29,0.5,"[[6962 3993]
 [   7  803]]",0.85,0.54,0.99,0.59,0.7,0.85,"[[1615  339]
 [   4  395]]",0.84,0.3,0.99,0.35,0.46,0.68,"[[9114 1849]
 [   8  794]]"
1,1.411,42,460,22,r206n03.gzip,[326],231,0.75,0.41,0.99,0.46,0.58,0.77,"[[1368  582]
 [   3  400]]",0.73,0.2,0.99,0.24,0.33,0.55,"[[7741 3214]
 [   7  803]]",0.95,0.77,0.97,0.81,0.86,0.92,"[[1852  111]
 [  12  378]]",0.95,0.55,0.96,0.6,0.7,0.84,"[[10384   604]
 [   30   747]]"
1,1.411,42,460,22,r210n01.gzip,[326],231,0.71,0.69,1.0,0.73,0.81,0.92,"[[ 134  592]
 [   0 1293]]",0.34,0.24,1.0,0.28,0.39,0.61,"[[1358 6634]
 [   0 2100]]",0.73,0.7,1.0,0.75,0.82,0.92,"[[ 175  551]
 [   0 1293]]",0.39,0.26,1.0,0.3,0.41,0.63,"[[1878 6117]
 [   0 2097]]"
1,1.411,42,460,22,r210n01.gzip,[326],231,0.72,0.7,1.0,0.74,0.82,0.92,"[[ 162  564]
 [   0 1293]]",0.38,0.25,1.0,0.29,0.4,0.63,"[[1713 6279]
 [   0 2100]]",0.85,0.81,1.0,0.84,0.89,0.95,"[[ 415  312]
 [   0 1292]]",0.64,0.37,1.0,0.42,0.54,0.74,"[[4376 3622]
 [   0 2094]]"
1,1.411,42,460,22,r208n14.gzip,[326],231,0.98,0.72,0.57,0.68,0.64,0.6,"[[1646    9]
 [  17   23]]",0.99,0.39,0.44,0.4,0.41,0.43,"[[8328   59]
 [  49   38]]",0.96,0.34,0.49,0.36,0.4,0.45,"[[1600   46]
 [  25   24]]",0.96,0.18,0.6,0.21,0.27,0.41,"[[8091  281]
 [  41   61]]"
1,1.411,42,460,22,r208n14.gzip,[326],231,0.98,0.7,0.57,0.67,0.63,0.6,"[[1645   10]
 [  17   23]]",0.99,0.38,0.43,0.39,0.4,0.42,"[[8327   60]
 [  50   37]]",0.96,0.35,0.47,0.37,0.4,0.44,"[[1603   43]
 [  26   23]]",0.96,0.17,0.58,0.2,0.26,0.39,"[[8087  285]
 [  43   59]]"
1,1.411,42,460,22,r206n18.gzip,[326],231,0.93,0.26,0.83,0.3,0.4,0.58,"[[2120  154]
 [  11   54]]",0.93,0.12,0.85,0.15,0.21,0.39,"[[10706   850]
 [   21   117]]",0.95,0.33,0.8,0.37,0.47,0.62,"[[2185   95]
 [  12   47]]",0.96,0.18,0.82,0.21,0.29,0.47,"[[11067   498]
 [   23   106]]"
1,1.411,42,460,22,r206n18.gzip,[326],231,0.95,0.3,0.8,0.34,0.43,0.6,"[[2169  111]
 [  12   47]]",0.95,0.16,0.81,0.19,0.27,0.45,"[[11026   540]
 [   24   104]]",0.96,0.34,0.76,0.38,0.47,0.61,"[[2191   89]
 [  14   45]]",0.96,0.18,0.79,0.21,0.29,0.46,"[[11098   469]
 [   27   100]]"
1,1.411,42,460,22,r207n14.gzip,[326],231,0.96,0.59,0.79,0.62,0.68,0.74,"[[2765   92]
 [  35  133]]",0.97,0.37,0.8,0.42,0.51,0.65,"[[14329   454]
 [   68   271]]",0.99,0.95,0.79,0.91,0.86,0.82,"[[2850    7]
 [  35  133]]",0.99,0.87,0.8,0.86,0.83,0.81,"[[14744    40]
 [   68   270]]"
1,1.411,42,460,22,r207n14.gzip,[326],231,0.94,0.47,0.95,0.53,0.63,0.79,"[[2674  180]
 [   9  162]]",0.94,0.26,0.93,0.3,0.41,0.61,"[[13853   922]
 [   24   323]]",0.98,0.87,0.82,0.86,0.84,0.83,"[[2837   20]
 [  31  137]]",0.99,0.73,0.82,0.74,0.77,0.8,"[[14679   105]
 [   60   278]]"
1,1.411,42,460,22,r206n09.gzip,[326],231,0.68,0.14,0.77,0.17,0.24,0.41,"[[1830  886]
 [  43  147]]",0.69,0.06,0.8,0.08,0.12,0.24,"[[9664 4491]
 [  76  299]]",0.79,0.19,0.71,0.22,0.3,0.46,"[[2160  564]
 [  52  130]]",0.8,0.08,0.74,0.1,0.15,0.29,"[[11318  2862]
 [   90   260]]"
1,1.411,42,460,22,r206n09.gzip,[326],231,0.68,0.14,0.76,0.17,0.24,0.41,"[[1841  875]
 [  45  145]]",0.69,0.06,0.79,0.08,0.12,0.24,"[[9771 4383]
 [  80  296]]",0.8,0.2,0.71,0.23,0.31,0.47,"[[2190  534]
 [  52  130]]",0.8,0.09,0.75,0.11,0.16,0.3,"[[11402  2776]
 [   89   263]]"
1,1.411,42,460,22,r207n19.gzip,[326],231,0.68,0.06,0.81,0.07,0.1,0.22,"[[1515  731]
 [  10   43]]",0.67,0.02,0.88,0.03,0.05,0.11,"[[7618 3770]
 [  13   92]]",0.9,0.1,0.6,0.12,0.17,0.3,"[[2039  220]
 [  16   24]]",0.9,0.05,0.72,0.06,0.09,0.19,"[[10274  1141]
 [   22    56]]"
1,1.411,42,460,22,r207n19.gzip,[326],231,0.72,0.06,0.82,0.08,0.12,0.24,"[[1612  636]
 [   9   42]]",0.72,0.03,0.88,0.03,0.05,0.12,"[[8136 3259]
 [  12   86]]",0.85,0.09,0.79,0.11,0.16,0.31,"[[1911  345]
 [   9   34]]",0.84,0.04,0.86,0.05,0.08,0.17,"[[9625 1780]
 [  12   76]]"
1,1.411,42,460,22,r211n17.gzip,[326],231,0.87,0.33,0.81,0.38,0.47,0.63,"[[1752  261]
 [  30  130]]",0.86,0.16,0.8,0.19,0.26,0.44,"[[9109 1424]
 [  66  264]]",0.86,0.34,0.97,0.39,0.5,0.71,"[[1701  309]
 [   5  158]]",0.84,0.16,0.97,0.19,0.27,0.48,"[[8827 1702]
 [  11  323]]"
1,1.411,42,460,22,r211n17.gzip,[326],231,0.87,0.35,0.81,0.39,0.48,0.64,"[[1769  244]
 [  31  129]]",0.87,0.17,0.8,0.2,0.27,0.45,"[[9207 1326]
 [  67  263]]",0.86,0.35,0.98,0.4,0.51,0.72,"[[1711  299]
 [   3  160]]",0.84,0.16,0.98,0.2,0.28,0.49,"[[8851 1678]
 [   7  327]]"
1,1.411,42,460,22,r206n02 2.gzip,[326],231,0.76,0.47,0.99,0.53,0.64,0.81,"[[1175  516]
 [   4  464]]",0.73,0.24,0.99,0.28,0.39,0.61,"[[6925 2935]
 [   8  925]]",0.79,0.51,0.99,0.56,0.67,0.83,"[[1239  452]
 [   4  464]]",0.76,0.26,0.99,0.31,0.42,0.64,"[[7262 2598]
 [   8  925]]"
1,1.411,42,460,22,r206n02 2.gzip,[326],231,0.75,0.46,0.99,0.52,0.63,0.81,"[[1147  544]
 [   4  464]]",0.71,0.23,0.99,0.27,0.37,0.6,"[[6764 3096]
 [   8  925]]",0.79,0.51,0.99,0.56,0.67,0.83,"[[1239  452]
 [   4  464]]",0.76,0.26,0.99,0.31,0.42,0.64,"[[7262 2598]
 [   8  925]]"
1,1.411,42,460,22,r210n14.gzip,[326],231,0.77,0.11,0.66,0.14,0.19,0.34,"[[1603  478]
 [  31   61]]",0.78,0.05,0.68,0.06,0.1,0.2,"[[8290 2379]
 [  61  132]]",0.98,0.64,0.16,0.41,0.26,0.19,"[[2113    5]
 [  46    9]]",0.99,0.6,0.25,0.47,0.35,0.28,"[[10717    21]
 [   93    31]]"
1,1.411,42,460,22,r210n14.gzip,[326],231,0.82,0.13,0.64,0.16,0.22,0.37,"[[1726  359]
 [  32   56]]",0.83,0.06,0.65,0.07,0.11,0.22,"[[8893 1790]
 [  63  116]]",0.97,0.47,0.15,0.33,0.22,0.17,"[[2109    9]
 [  47    8]]",0.99,0.49,0.21,0.39,0.29,0.24,"[[10716    26]
 [   95    25]]"
1,1.411,42,460,22,r209n15.gzip,[326],231,0.98,0.75,0.06,0.21,0.1,0.07,"[[2117    1]
 [  51    3]]",0.99,0.57,0.04,0.14,0.07,0.04,"[[10740     3]
 [  109     4]]",0.82,0.16,0.85,0.2,0.27,0.46,"[[1695  388]
 [  13   76]]",0.82,0.07,0.85,0.09,0.13,0.27,"[[8779 1905]
 [  26  146]]"
1,1.411,42,460,22,r209n15.gzip,[326],231,0.98,0.75,0.06,0.21,0.1,0.07,"[[2117    1]
 [  51    3]]",0.99,0.57,0.04,0.14,0.07,0.04,"[[10740     3]
 [  109     4]]",0.87,0.21,0.82,0.25,0.33,0.52,"[[1828  260]
 [  15   69]]",0.88,0.09,0.8,0.11,0.17,0.32,"[[9435 1258]
 [  32  131]]"
1,1.411,42,460,22,r211n14.gzip,[326],231,0.96,0.24,0.73,0.27,0.36,0.51,"[[2064   78]
 [   9   24]]",0.96,0.11,0.77,0.13,0.19,0.35,"[[10424   388]
 [   14    48]]",0.99,0.59,0.59,0.59,0.59,0.59,"[[2137   11]
 [  11   16]]",0.99,0.47,0.63,0.5,0.54,0.59,"[[10785    37]
 [   19    33]]"
1,1.411,42,460,22,r211n14.gzip,[326],231,0.95,0.21,0.73,0.24,0.32,0.48,"[[2049   93]
 [   9   24]]",0.96,0.09,0.77,0.11,0.17,0.32,"[[10353   459]
 [   14    48]]",0.99,0.47,0.64,0.5,0.55,0.6,"[[2127   20]
 [  10   18]]",0.99,0.32,0.72,0.36,0.44,0.58,"[[10741    80]
 [   15    38]]"
1,1.411,42,460,22,r210n11.gzip,[326],231,0.99,0.12,0.04,0.09,0.06,0.04,"[[2140    7]
 [  25    1]]",0.99,0.13,0.05,0.09,0.07,0.05,"[[10777    20]
 [   63     3]]",0.8,0.08,0.75,0.1,0.15,0.29,"[[1704  418]
 [  13   38]]",0.81,0.04,0.77,0.05,0.08,0.17,"[[8729 2025]
 [  25   84]]"
1,1.411,42,460,22,r210n11.gzip,[326],231,0.99,0.12,0.04,0.09,0.06,0.04,"[[2140    7]
 [  25    1]]",0.99,0.13,0.05,0.09,0.07,0.05,"[[10777    20]
 [   63     3]]",0.8,0.09,0.76,0.11,0.16,0.3,"[[1701  418]
 [  13   41]]",0.81,0.04,0.78,0.05,0.08,0.17,"[[8689 2062]
 [  25   87]]"
1,1.411,42,460,22,r208n16.gzip,[326],231,0.92,0.13,0.06,0.11,0.08,0.07,"[[1857   45]
 [ 107    7]]",0.96,0.07,0.07,0.07,0.07,0.07,"[[9664  192]
 [ 209   15]]",0.2,0.08,0.98,0.1,0.15,0.3,"[[ 255 1616]
 [   3  142]]",0.16,0.03,0.99,0.04,0.06,0.14,"[[1358 8433]
 [   4  285]]"
1,1.411,42,460,22,r208n16.gzip,[326],231,0.92,0.08,0.04,0.06,0.05,0.04,"[[1859   45]
 [ 108    4]]",0.96,0.06,0.05,0.06,0.05,0.05,"[[9678  180]
 [ 211   11]]",0.14,0.08,0.99,0.1,0.14,0.3,"[[ 133 1736]
 [   1  146]]",0.1,0.03,0.99,0.04,0.06,0.14,"[[ 723 9065]
 [   2  290]]"
1,1.411,42,460,22,r210n06.gzip,[326],231,0.97,0.25,0.01,0.05,0.02,0.02,"[[2631    3]
 [  79    1]]",0.99,0.18,0.02,0.07,0.03,0.02,"[[13395    14]
 [  155     3]]",0.9,0.2,0.6,0.23,0.3,0.43,"[[2397  226]
 [  36   55]]",0.91,0.09,0.65,0.11,0.16,0.29,"[[12245  1146]
 [   61   115]]"
1,1.411,42,460,22,r210n06.gzip,[326],231,0.97,0.25,0.01,0.05,0.02,0.02,"[[2631    3]
 [  79    1]]",0.99,0.17,0.02,0.07,0.03,0.02,"[[13394    15]
 [  155     3]]",0.9,0.19,0.6,0.23,0.29,0.42,"[[2401  223]
 [  36   54]]",0.91,0.09,0.66,0.11,0.16,0.29,"[[12256  1136]
 [   60   115]]"
1,1.411,42,460,22,r206n02 3.gzip,[326],231,0.74,0.46,0.99,0.51,0.63,0.8,"[[1141  550]
 [   4  464]]",0.71,0.23,0.99,0.27,0.37,0.59,"[[6735 3125]
 [   8  925]]",0.79,0.51,0.99,0.56,0.67,0.83,"[[1239  452]
 [   4  464]]",0.76,0.26,0.99,0.31,0.42,0.64,"[[7261 2599]
 [   8  925]]"
1,1.411,42,460,22,r206n02 3.gzip,[326],231,0.75,0.46,0.99,0.52,0.63,0.81,"[[1146  545]
 [   4  464]]",0.71,0.23,0.99,0.27,0.37,0.6,"[[6756 3104]
 [   8  925]]",0.79,0.51,0.99,0.56,0.67,0.83,"[[1239  452]
 [   4  464]]",0.76,0.26,0.99,0.31,0.42,0.64,"[[7261 2599]
 [   8  925]]"
1,1.411,42,460,22,r207n05.gzip,[326],231,0.95,0.19,0.66,0.22,0.29,0.44,"[[2195   99]
 [  12   23]]",0.95,0.08,0.72,0.1,0.15,0.28,"[[11057   523]
 [   18    46]]",0.99,0.7,0.55,0.66,0.62,0.58,"[[2293    7]
 [  13   16]]",0.99,0.39,0.62,0.42,0.48,0.56,"[[11546    48]
 [   19    31]]"
1,1.411,42,460,22,r207n05.gzip,[326],231,0.92,0.15,0.8,0.18,0.26,0.43,"[[2112  177]
 [   8   32]]",0.92,0.06,0.85,0.08,0.12,0.24,"[[10634   937]
 [   11    62]]",0.99,0.59,0.55,0.58,0.57,0.56,"[[2289   11]
 [  13   16]]",0.99,0.32,0.62,0.36,0.42,0.52,"[[11529    65]
 [   19    31]]"
1,1.411,42,460,22,r207n03.gzip,[326],231,0.96,0.31,0.88,0.35,0.45,0.64,"[[2208   79]
 [   5   35]]",0.96,0.14,0.88,0.17,0.24,0.43,"[[11144   412]
 [    9    67]]",0.99,0.69,0.64,0.68,0.67,0.65,"[[2291    8]
 [  10   18]]",0.99,0.43,0.61,0.46,0.51,0.57,"[[11529    46]
 [   22    35]]"
1,1.411,42,460,22,r207n03.gzip,[326],231,0.96,0.28,0.88,0.33,0.43,0.62,"[[2199   88]
 [   5   35]]",0.96,0.13,0.9,0.16,0.23,0.42,"[[11107   448]
 [    8    69]]",0.99,0.85,0.65,0.8,0.74,0.69,"[[2298    3]
 [   9   17]]",1.0,0.56,0.62,0.58,0.59,0.61,"[[11549    27]
 [   21    35]]"
1,1.411,42,460,22,r206n05.gzip,[326],231,0.91,0.38,0.85,0.43,0.53,0.68,"[[2213  196]
 [  21  121]]",0.91,0.17,0.82,0.2,0.28,0.47,"[[11388  1089]
 [   50   227]]",0.96,0.58,0.8,0.62,0.67,0.75,"[[2337   78]
 [  27  109]]",0.96,0.32,0.77,0.36,0.45,0.6,"[[12055   436]
 [   60   203]]"
1,1.411,42,460,22,r206n05.gzip,[326],231,0.91,0.36,0.87,0.41,0.51,0.68,"[[2186  222]
 [  18  125]]",0.9,0.16,0.84,0.19,0.27,0.45,"[[11238  1235]
 [   46   235]]",0.95,0.54,0.77,0.58,0.64,0.71,"[[2326   89]
 [  31  105]]",0.96,0.3,0.75,0.34,0.43,0.58,"[[12031   460]
 [   65   198]]"
1,1.411,42,460,22,r209n13.gzip,[326],231,0.63,0.37,0.85,0.41,0.51,0.67,"[[1167  902]
 [  91  522]]",0.59,0.16,0.86,0.19,0.27,0.46,"[[6806 5378]
 [ 176 1047]]",0.76,0.47,0.74,0.51,0.58,0.66,"[[1589  492]
 [ 159  442]]",0.75,0.23,0.74,0.27,0.35,0.51,"[[9222 2976]
 [ 313  896]]"
1,1.411,42,460,22,r209n13.gzip,[326],231,0.64,0.37,0.85,0.42,0.52,0.68,"[[1187  883]
 [  91  521]]",0.6,0.17,0.85,0.2,0.28,0.47,"[[6998 5188]
 [ 180 1041]]",0.74,0.45,0.73,0.49,0.56,0.65,"[[1548  531]
 [ 163  440]]",0.74,0.22,0.73,0.25,0.34,0.5,"[[9025 3173]
 [ 322  887]]"
1,1.411,42,460,22,r205n14.gzip,[326],231,0.97,0.57,0.27,0.47,0.37,0.3,"[[2061   16]
 [  56   21]]",0.98,0.35,0.34,0.34,0.34,0.34,"[[10520    96]
 [  101    51]]",0.97,0.91,0.14,0.42,0.24,0.16,"[[2079    1]
 [  64   10]]",0.99,0.84,0.22,0.54,0.35,0.26,"[[10619     6]
 [  111    32]]"
1,1.411,42,460,22,r205n14.gzip,[326],231,0.97,0.67,0.23,0.49,0.35,0.27,"[[2068    9]
 [  59   18]]",0.99,0.46,0.29,0.41,0.36,0.31,"[[10565    51]
 [  108    44]]",0.97,1.0,0.11,0.38,0.2,0.13,"[[2080    0]
 [  66    8]]",0.99,0.93,0.2,0.53,0.32,0.23,"[[10623     2]
 [  115    28]]"
1,1.411,42,460,22,r206n02.gzip,[326],231,0.75,0.46,0.99,0.52,0.63,0.81,"[[1155  536]
 [   4  464]]",0.72,0.23,0.99,0.28,0.38,0.6,"[[6823 3037]
 [   8  925]]",0.79,0.51,0.99,0.56,0.67,0.83,"[[1239  452]
 [   4  464]]",0.76,0.26,0.99,0.31,0.41,0.64,"[[7260 2600]
 [   8  925]]"
