Node Name,Seed,Test Accuracy,Test Precision,Test Recall,Test F0.5-Score,Test F1-Score,Test F2-Score,Test Conf. Matrix,All Accuracy,All Precision,All Recall,All F0.5-Score,All F1-Score,All F2-Score,All Conf. Matrix
r206n05.gzip,2,0.98,0.7,0.95,0.74,0.81,0.89,"[[2373   52]
 [   6  120]]",0.98,0.53,0.98,0.58,0.69,0.84,"[[12262   229]
 [    6   257]]"
r206n05.gzip,8,0.97,0.67,0.9,0.7,0.77,0.84,"[[2371   56]
 [  12  112]]",0.98,0.5,0.93,0.55,0.65,0.79,"[[12261   239]
 [   18   236]]"
r209n13.gzip,2,0.9,0.71,0.9,0.75,0.8,0.86,"[[1913  204]
 [  54  511]]",0.91,0.5,0.94,0.55,0.65,0.8,"[[11175  1083]
 [   72  1077]]"
r209n13.gzip,8,0.89,0.68,0.9,0.71,0.78,0.85,"[[1887  238]
 [  53  504]]",0.9,0.45,0.94,0.51,0.61,0.77,"[[10953  1302]
 [   71  1081]]"
r205n14.gzip,2,0.98,0.73,0.8,0.74,0.76,0.79,"[[2055   23]
 [  15   61]]",0.99,0.63,0.87,0.67,0.73,0.81,"[[10549    74]
 [   19   126]]"
r205n14.gzip,8,0.97,0.56,0.79,0.59,0.65,0.73,"[[2045   42]
 [  14   53]]",0.98,0.4,0.9,0.45,0.55,0.72,"[[10419   201]
 [   15   133]]"
r206n02.gzip,2,0.98,0.93,0.98,0.94,0.95,0.97,"[[1674   33]
 [   9  443]]",0.98,0.83,0.99,0.86,0.9,0.95,"[[9701  182]
 [   9  901]]"
r206n02.gzip,8,0.98,0.9,0.99,0.92,0.94,0.97,"[[1656   48]
 [   5  450]]",0.98,0.83,0.99,0.86,0.9,0.95,"[[9699  184]
 [   9  901]]"
r205n12.gzip,2,0.98,0.76,0.83,0.78,0.8,0.82,"[[2045   20]
 [  13   65]]",0.99,0.72,0.9,0.75,0.8,0.86,"[[10487    59]
 [   17   150]]"
r205n12.gzip,8,0.97,0.57,0.79,0.6,0.66,0.73,"[[2028   43]
 [  15   57]]",0.98,0.38,0.89,0.43,0.53,0.7,"[[10340   221]
 [   17   135]]"
